match_id,player,opponent,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,unforced,serve_gap,match_date,start_time,gender,competition,level,surface,round,player_id,opponent_id,won,winning_reason
20250821-men-US_Open_Men_Singles-qualification_round_2-Otto_Virtanen-Leandro_Riedi,Otto Virtanen,Leandro Riedi,Total,73.0,5.0,4.0,32.0,20.0,41.0,21.0,5.0,2.0,82.0,31.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:276563,sr:competitor:603096,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Otto_Virtanen-Leandro_Riedi,Leandro Riedi,Otto Virtanen,Total,82.0,6.0,4.0,54.0,39.0,28.0,12.0,8.0,6.0,73.0,32.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:603096,sr:competitor:276563,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Oliver_Crawford-Garrett_Johns,Oliver Crawford,Garrett Johns,Total,57.0,3.0,5.0,31.0,21.0,26.0,11.0,7.0,3.0,85.0,34.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:240876,sr:competitor:303862,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Oliver_Crawford-Garrett_Johns,Garrett Johns,Oliver Crawford,Total,85.0,9.0,2.0,39.0,26.0,46.0,25.0,6.0,3.0,57.0,25.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:303862,sr:competitor:240876,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Juan_Manuel_Cerundolo-Yuta_Shimizu,Juan Manuel Cerundolo,Yuta Shimizu,Total,84.0,5.0,2.0,57.0,37.0,27.0,11.0,6.0,2.0,82.0,33.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:258735,sr:competitor:250231,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Juan_Manuel_Cerundolo-Yuta_Shimizu,Yuta Shimizu,Juan Manuel Cerundolo,Total,82.0,0.0,3.0,58.0,37.0,24.0,12.0,7.0,4.0,84.0,36.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:250231,sr:competitor:258735,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Francesca_Jones-Ekaterine_Gorgodze,Francesca Jones,Ekaterine Gorgodze,Total,80.0,4.0,2.0,57.0,39.0,23.0,12.0,8.0,7.0,76.0,34.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:198488,sr:competitor:48486,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Francesca_Jones-Ekaterine_Gorgodze,Ekaterine Gorgodze,Francesca Jones,Total,76.0,0.0,2.0,55.0,32.0,21.0,10.0,8.0,5.0,80.0,29.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:48486,sr:competitor:198488,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Maja_Chwalinska-Janice_Tjen,Maja Chwalinska,Janice Tjen,Total,70.0,3.0,2.0,59.0,37.0,12.0,7.0,5.0,2.0,79.0,27.0,,,1.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:235260,sr:competitor:460837,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Maja_Chwalinska-Janice_Tjen,Janice Tjen,Maja Chwalinska,Total,79.0,5.0,3.0,61.0,44.0,19.0,8.0,6.0,5.0,70.0,26.0,,,1.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:460837,sr:competitor:235260,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Destanee_Aiava-Justina_Mikulskyte,Destanee Aiava,Justina Mikulskyte,Total,76.0,3.0,6.0,52.0,31.0,25.0,12.0,6.0,2.0,60.0,26.0,,,1.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:190882,sr:competitor:137932,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Destanee_Aiava-Justina_Mikulskyte,Justina Mikulskyte,Destanee Aiava,Total,60.0,3.0,5.0,43.0,26.0,17.0,8.0,7.0,2.0,76.0,33.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:137932,sr:competitor:190882,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Arianne_Hartono-Olivia_Gadecki,Arianne Hartono,Olivia Gadecki,Total,87.0,1.0,3.0,61.0,37.0,26.0,15.0,7.0,2.0,98.0,45.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:160190,sr:competitor:286435,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Arianne_Hartono-Olivia_Gadecki,Olivia Gadecki,Arianne Hartono,Total,98.0,5.0,13.0,65.0,44.0,33.0,9.0,9.0,3.0,87.0,35.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:286435,sr:competitor:160190,False,
