step,match_date,competition,round,role,opponent,n_predictors,srv_before,total_grad,srv_after,delta
178,20250826,US Open Men Singles,round_of_128,returner,Reilly Opelka,1,5.0,-0.004719476215541363,5.638598442077637,0.6385984420776367
179,20250826,US Open Men Singles,round_of_128,server,Reilly Opelka,5,5.638598442077637,-0.010398754850029945,6.221658229827881,0.5830597877502441
241,20250827,US Open Men Singles,round_of_64,returner,Mattia Bellucci,1,6.221658229827881,-0.0035620778799057007,6.445836067199707,0.22417783737182617
242,20250827,US Open Men Singles,round_of_64,server,Mattia Bellucci,4,6.445836067199707,-0.0021609915420413017,6.57985782623291,0.13402175903320312
279,20250829,US Open Men Singles,round_of_32,returner,Luciano Darderi,1,6.57985782623291,-0.001922382740303874,6.707376003265381,0.1275181770324707
280,20250829,US Open Men Singles,round_of_32,server,Luciano Darderi,5,6.707376003265381,-0.004266162868589163,6.973941326141357,0.26656532287597656
313,20250902,US Open Men Singles,quarterfinal,returner,Jiri Lehecka,1,6.973941326141357,-0.004451618529856205,7.2528886795043945,0.2789473533630371
314,20250902,US Open Men Singles,quarterfinal,server,Jiri Lehecka,4,7.2528886795043945,-0.00434455182403326,7.511723041534424,0.2588343620300293
321,20250905,US Open Men Singles,semifinal,returner,Novak Djokovic,1,7.511723041534424,-0.0010227934690192342,7.573276519775391,0.0615534782409668
322,20250905,US Open Men Singles,semifinal,server,Novak Djokovic,5,7.573276519775391,0.011092628352344036,7.052563667297363,-0.5207128524780273
325,20250907,US Open Men Singles,final,returner,Jannik Sinner,1,7.052563667297363,-0.00298509793356061,7.19148063659668,0.1389169692993164
326,20250907,US Open Men Singles,final,server,Jannik Sinner,5,7.19148063659668,0.006432193331420422,6.9092888832092285,-0.28219175338745117
567,20250925,"ATP Tokyo, Japan Men Singles",round_of_32,server,Sebastian Baez,5,6.9092888832092285,0.002922898158431053,6.731515884399414,-0.17777299880981445
568,20250925,"ATP Tokyo, Japan Men Singles",round_of_32,returner,Sebastian Baez,1,6.731515884399414,0.0005308642867021263,6.699206352233887,-0.032309532165527344
615,20250927,"ATP Tokyo, Japan Men Singles",round_of_16,server,Zizou Bergs,5,6.699206352233887,0.007786313537508249,6.246448993682861,-0.4527573585510254
616,20250927,"ATP Tokyo, Japan Men Singles",round_of_16,returner,Zizou Bergs,1,6.246448993682861,0.002508176025003195,6.101779460906982,-0.1446695327758789
631,20250928,"ATP Tokyo, Japan Men Singles",quarterfinal,server,Brandon Nakashima,4,6.101779460906982,-0.006594300270080566,6.46579122543335,0.3640117645263672
632,20250928,"ATP Tokyo, Japan Men Singles",quarterfinal,returner,Brandon Nakashima,1,6.46579122543335,-0.003145326627418399,6.63740348815918,0.17161226272583008
673,20250929,"ATP Tokyo, Japan Men Singles",semifinal,server,Casper Ruud,5,6.63740348815918,-0.003178794402629137,6.8160505294799805,0.17864704132080078
674,20250929,"ATP Tokyo, Japan Men Singles",semifinal,returner,Casper Ruud,1,6.8160505294799805,-0.001152461743913591,6.880773544311523,0.06472301483154297
