tournament,year,level,gender,best_of,draw,bracket,byes,seeds,seeds_issued_max,replacements,seeds_seen,seeds_withdrawn,plausible,draw_complete,matches,cancelled
"ATP Cincinnati, USA Men Singles",2026,atp_1000,men,3,96,128,32,32,32,0,32,,True,True,95,2
"ATP Indian Wells, USA Men Singles",2026,atp_1000,men,3,96,128,32,32,32,0,32,,True,True,95,1
"ATP Madrid, Spain Men Singles",2026,atp_1000,men,3,96,128,32,32,33,1,32,24,True,True,95,3
"ATP Miami, USA Men Singles",2026,atp_1000,men,3,96,128,32,32,32,0,31,4,True,True,95,1
"ATP Monte Carlo, Monaco Men Singles",2026,atp_1000,men,3,56,64,8,16,16,0,15,14,True,True,55,3
"ATP Montreal, Canada Men Singles",2026,atp_1000,men,3,96,128,32,32,32,0,31,2,True,True,95,1
"ATP Paris, France Men Singles",2025,atp_1000,men,3,56,64,8,16,15,0,15,,True,True,55,3
"ATP Rome, Italy Men Singles",2026,atp_1000,men,3,96,128,32,32,32,0,30,14 22,True,True,95,2
"ATP Shanghai, China Men Singles",2025,atp_1000,men,3,96,128,32,32,33,1,31,1 24,True,True,95,2
"ATP Adelaide, Australia Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,7,6,True,True,27,1
"ATP Almaty, Kazakhstan Men Singles",2025,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,1
"ATP Athens, Greece Men Singles",2025,atp_250,men,3,28,32,4,8,7,0,7,,True,True,27,1
"ATP Auckland, New Zealand Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,0
"ATP Bastad, Sweden Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,0
"ATP Brisbane, Australia Men Singles",2026,atp_250,men,3,32,32,0,8,8,0,7,6,True,True,31,2
"ATP Brussels, Belgium Singles",2025,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,1
"ATP Bucharest, Romania Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,1
"ATP Buenos Aires, Argentina Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,1
"ATP Chengdu, China Men Singles",2025,atp_250,men,3,28,32,4,8,8,0,7,7,True,True,27,1
"ATP Delray Beach, USA Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,1
"ATP Eastbourne, Great Britain Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,4,1 2 3 5,True,True,27,5
"ATP Estoril, Portugal Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,2
"ATP Geneva, Switzerland Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,7,7,True,True,27,2
"ATP Gstaad, Switzerland Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,0
"ATP Hangzhou, China Men Singles",2025,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,1
"ATP Hong Kong, Hong Kong Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,0
"ATP Houston, USA Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,0
"ATP Kitzbuhel, Austria Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,0
"ATP Los Cabos, Mexico Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,1
"ATP Mallorca, Spain Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,7,3,True,True,27,4
"ATP Marrakech, Morocco Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,0
"ATP Metz, France Men Singles",2025,atp_250,men,3,28,32,4,8,8,0,5,1 2 5,True,True,27,2
"ATP Montpellier, France Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,1
"ATP S-Hertogenbosch, Netherlands Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,0
"ATP Santiago, Chile Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,7,5,True,True,27,1
"ATP Stockholm, Sweden Men Singles",2025,atp_250,men,3,28,32,4,8,8,0,8,,True,True,27,0
"ATP Stuttgart, Germany Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,7,5,True,True,27,1
"ATP Umag, Croatia Men Singles",2026,atp_250,men,3,28,32,4,8,8,0,7,6,True,True,27,1
"ATP Winston Salem, USA Men Singles",2025,atp_250,men,3,17,32,15,,14,,10,1 2 6 7,False,True,16,0
"ATP Winston Salem, USA Men Singles",2026,atp_250,men,3,,,,,16,,16,,False,False,42,4
"ATP Acapulco, Mexico Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,2
"ATP Barcelona, Spain Men Singles",2026,atp_500,men,3,32,32,0,8,9,1,8,6,True,True,31,2
"ATP Basel, Switzerland Men Singles",2025,atp_500,men,3,32,32,0,8,9,1,8,3,True,True,31,3
"ATP Beijing, China Men Singles",2025,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,1
"ATP Dallas, USA Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,8,,True,True,31,1
"ATP Doha, Qatar Men Singles",2026,atp_500,men,3,32,32,0,8,8,0,7,3,True,True,31,2
