tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-9900,United Cup,Hard,18,I,20260105,400,202505,,,Belinda Bencic,R,175,SUI,28.8,216347,,,Iga Swiatek,R,176,POL,24.5,3-6 6-0 6-3,3,F,,,,,,,,,,,,,,,,,,,,11,3097,2,8178
2026-9900,United Cup,Hard,18,I,20260105,399,221103,,,Coco Gauff,R,175,USA,21.8,216347,,,Iga Swiatek,R,176,POL,24.5,6-4 6-2,3,SF,,,,,,,,,,,,,,,,,,,,4,6273,2,8178
2026-9900,United Cup,Hard,18,I,20260105,398,202505,,,Belinda Bencic,R,175,SUI,28.8,210722,,,Elise Mertens,R,179,BEL,30.1,6-3 4-6 7-6(0),3,SF,,,,,,,,,,,,,,,,,,,,11,3097,19,1969
2026-9900,United Cup,Hard,18,I,20260105,397,216347,,,Iga Swiatek,R,176,POL,24.5,233741,,,Maya Joint,R,,AUS,19.7,6-1 6-1,3,QF,,,,,,,,,,,,,,,,,,,,2,8178,32,1539
2026-9900,United Cup,Hard,18,I,20260105,396,210722,,,Elise Mertens,R,179,BEL,30.1,206252,,,Barbora Krejcikova,R,178,CZE,30.0,5-7 6-1 7-5,3,QF,,,,,,,,,,,,,,,,,,,,19,1969,63,990
2026-9900,United Cup,Hard,18,I,20260105,395,202505,,,Belinda Bencic,R,175,SUI,28.8,221333,,,Solana Sierra,R,,ARG,21.5,6-2 6-2,3,QF,,,,,,,,,,,,,,,,,,,,11,3097,66,978
2026-9900,United Cup,Hard,18,I,20260105,394,221103,,,Coco Gauff,R,175,USA,21.8,206289,,,Maria Sakkari,R,172,GRE,30.4,6-3 6-2,3,QF,,,,,,,,,,,,,,,,,,,,4,6273,51,1116
2026-9900,United Cup,Hard,18,I,20260105,393,216347,,,Iga Swiatek,R,176,POL,24.5,215480,,,Suzan Lamens,R,,NED,26.5,6-3 6-2,3,RR,,,,,,,,,,,,,,,,,,,,2,8178,97,780
2026-9900,United Cup,Hard,18,I,20260105,392,206252,,,Barbora Krejcikova,R,178,CZE,30.0,233741,,,Maya Joint,R,,AUS,19.7,6-4 6-1,3,RR,,,,,,,,,,,,,,,,,,,,63,990,32,1539
2026-9900,United Cup,Hard,18,I,20260105,391,211148,,,Jasmine Paolini,R,160,ITA,30.0,206417,,,Leolia Jeanjean,R,,FRA,30.3,6-2 6-3,3,RR,,,,,,,,,,,,,,,,,,,,8,4236,102,760
2026-9900,United Cup,Hard,18,I,20260105,390,210722,,,Elise Mertens,R,179,BEL,30.1,239475,,,Victoria Mboko,R,,CAN,19.3,6-3 3-6 6-3,3,RR,,,,,,,,,,,,,,,,,,,,19,1969,18,2157
2026-9900,United Cup,Hard,18,I,20260105,389,206289,,,Maria Sakkari,R,172,GRE,30.4,221054,,,Emma Raducanu,R,175,GBR,23.1,6-3 3-6 6-1,3,RR,,,,,,,,,,,,,,,,,,,,51,1116,29,1563
2026-9900,United Cup,Hard,18,I,20260105,388,216347,,,Iga Swiatek,R,176,POL,24.5,220332,,,Eva Lys,R,165,GER,23.9,3-6 6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,,2,8178,39,1291
2026-9900,United Cup,Hard,18,I,20260105,387,222601,,,Jessica Bouzas Maneiro,R,,ESP,23.2,221103,,,Coco Gauff,R,175,USA,21.8,6-1 6-7(3) 6-0,3,RR,,,,,,,,,,,,,,,,,,,,42,1231,4,6273
2026-9900,United Cup,Hard,18,I,20260105,386,206252,,,Barbora Krejcikova,R,178,CZE,30.0,214935,,,Malene Helgo,U,,NOR,26.3,6-4 6-3,3,RR,,,,,,,,,,,,,,,,,,,,63,990,533,95
2026-9900,United Cup,Hard,18,I,20260105,385,202505,,,Belinda Bencic,R,175,SUI,28.8,211148,,,Jasmine Paolini,R,160,ITA,30.0,6-4 6-3,3,RR,,,,,,,,,,,,,,,,,,,,11,3097,8,4236
2026-9900,United Cup,Hard,18,I,20260105,384,239475,,,Victoria Mboko,R,,CAN,19.3,202684,,,Lin Zhu,R,173,CHN,31.9,2-6 6-2 6-0,3,RR,,,,,,,,,,,,,,,,,,,,18,2157,162,429
2026-9900,United Cup,Hard,18,I,20260105,383,211768,,,Naomi Osaka,R,180,JPN,28.2,215042,,,Katie Swan,R,170,GBR,26.7,7-6(4) 6-1,3,RR,,,,,,,,,,,,,,,,,,,,16,2334,270,253
2026-9900,United Cup,Hard,18,I,20260105,382,220332,,,Eva Lys,R,165,GER,23.9,215480,,,Suzan Lamens,R,,NED,26.5,6-2 6-2,3,RR,,,,,,,,,,,,,,,,,,,,39,1291,97,780
2026-9900,United Cup,Hard,18,I,20260105,381,221103,,,Coco Gauff,R,175,USA,21.8,221333,,,Solana Sierra,R,,ARG,21.5,6-1 6-1,3,RR,,,,,,,,,,,,,,,,,,,,4,6273,66,978
