tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-2096,Canberra 125,Hard,32,C,20241230,300,256684,7,,Aoi Ito,U,,JPN,20.6,221096,,,Sijia Wei,R,,CHN,21.0,6-4 6-3,3,F,74,1,1,55,36,29,10,9,4,4,1,4,61,33,23,14,10,4,7,126,580,134,552
2025-2096,Canberra 125,Hard,32,C,20241230,299,256684,7,,Aoi Ito,U,,JPN,20.6,203463,1,,Nuria Parrizas Diaz,R,167,ESP,33.4,6-2 6-2,3,SF,69,0,4,61,41,21,13,8,5,8,1,1,54,40,16,4,8,4,11,126,580,91,813
2025-2096,Canberra 125,Hard,32,C,20241230,298,221096,,,Sijia Wei,R,,CHN,21.0,223253,,Q,Alexandra Eala,L,173,PHI,19.6,7-5 6-2,3,SF,88,4,2,61,37,23,12,10,1,5,3,6,64,40,21,6,10,3,10,134,552,147,490
2025-2096,Canberra 125,Hard,32,C,20241230,297,203463,1,,Nuria Parrizas Diaz,R,167,ESP,33.4,221407,,Q,Oksana Selekhmeteva,L,,RUS,21.9,6-3 6-3,3,QF,75,0,0,52,36,24,13,9,1,2,1,2,61,41,24,8,9,4,8,91,813,176,406
2025-2096,Canberra 125,Hard,32,C,20241230,296,256684,7,,Aoi Ito,U,,JPN,20.6,211411,,,Nina Stojanovic,R,176,SRB,28.4,6-2 7-6(6),3,QF,95,1,6,76,52,31,10,10,6,10,2,6,74,45,24,9,10,3,9,126,580,250,278
2025-2096,Canberra 125,Hard,32,C,20241230,295,221096,,,Sijia Wei,R,,CHN,21.0,215899,,Q,Simona Waltert,R,,SUI,24.0,6-1 6-4,3,QF,78,1,3,60,37,28,9,9,2,4,2,4,61,27,14,14,8,5,10,134,552,174,409
2025-2096,Canberra 125,Hard,32,C,20241230,294,223253,,Q,Alexandra Eala,L,173,PHI,19.6,223194,,WC,Taylah Preston,R,,AUS,19.1,4-6 6-2 6-1,3,QF,112,1,2,85,55,40,12,13,4,7,1,4,76,48,32,8,12,2,8,147,490,170,419
2025-2096,Canberra 125,Hard,32,C,20241230,293,203463,1,,Nuria Parrizas Diaz,R,167,ESP,33.4,260170,,Q,Sara Saito,R,,JPN,18.2,6-2 6-4,3,R16,68,2,0,44,34,25,8,9,1,2,4,4,63,38,22,11,9,3,7,91,813,150,478
2025-2096,Canberra 125,Hard,32,C,20241230,292,221407,,Q,Oksana Selekhmeteva,L,,RUS,21.9,213646,,,Dalma Galfi,R,178,HUN,26.3,6-3 2-6 7-5,3,R16,127,2,4,82,47,33,16,14,4,8,7,8,110,68,48,13,15,9,14,176,406,141,520
2025-2096,Canberra 125,Hard,32,C,20241230,291,211411,,,Nina Stojanovic,R,176,SRB,28.4,214535,,WC,Petra Hule,U,,AUS,25.8,6-2 6-3,3,R16,76,5,2,40,28,25,5,8,1,2,0,11,74,41,28,8,9,6,11,250,278,312,206
