ranking_date,rank,player,points,tours
20260105,1,214544,10490,0
20260105,2,216347,8178,0
20260105,3,216153,6287,0
20260105,4,221103,6273,0
20260105,5,214981,5850,0
20260105,6,202468,5583,0
20260105,7,201619,4335,0
20260105,8,211148,4236,0
20260105,9,259799,4125,0
20260105,10,206420,3375,0
20260105,11,202505,3097,0
20260105,12,222328,2641,0
20260105,13,202494,2606,0
20260105,14,220704,2530,0
20260105,15,215613,2515,0
20260105,16,211768,2334,0
20260105,17,214643,2209,0
20260105,18,239475,2157,0
20260105,19,210722,1969,0
20260105,20,214096,1888,0
20260105,21,223670,1866,0
20260105,22,220367,1821,0
20260105,23,211533,1800,0
20260105,24,221012,1728,0
20260105,25,211651,1675,0
20260105,26,216146,1659,0
20260105,27,215035,1604,0
20260105,28,213550,1589,0
20260105,29,221054,1563,0
20260105,30,206368,1558,0
20260105,31,220520,1553,0
20260105,32,233741,1539,0
20260105,33,214939,1461,0
20260105,34,214954,1445,0
20260105,35,260300,1423,0
20260105,36,222391,1351,0
20260105,37,215983,1334,0
20260105,38,211713,1324,0
20260105,39,220332,1291,0
20260105,40,214082,1275,0
20260105,41,201514,1243,0
20260105,42,222601,1231,0
20260105,43,213583,1229,0
20260105,44,201499,1184,0
20260105,45,201696,1183,0
20260105,46,213631,1182,0
20260105,47,211701,1172,0
20260105,48,215306,1149,0
20260105,49,221909,1134,0
20260105,50,213710,1127,0
20260105,51,206289,1116,0
20260105,52,202663,1089,0
20260105,53,223253,1076,0
20260105,54,222145,1075,0
20260105,55,215713,1072,0
20260105,56,221039,1070,0
20260105,57,216133,1056,0
20260105,58,206242,1052,0
20260105,59,211684,1051,0
20260105,60,238184,1035,0
20260105,61,215020,1016,0
20260105,62,203389,996,0
20260105,63,206252,990,0
20260105,64,220548,982,0
20260105,65,221024,979,0
20260105,66,221333,978,0
20260105,67,215337,957,0
20260105,68,222661,951,0
20260105,69,202499,935,0
20260105,70,222045,925,0
20260105,71,211685,914,0
20260105,72,215936,912,0
20260105,73,214388,900,0
20260105,74,201709,891,0
20260105,75,219875,887,0
20260105,76,215785,860,0
20260105,77,213887,844,0
20260105,78,201548,844,0
20260105,79,201533,843,0
20260105,80,203530,841,0
20260105,81,220714,837,0
20260105,82,238075,837,0
20260105,83,216083,836,0
20260105,84,230870,833,0
20260105,85,211817,825,0
20260105,86,215138,825,0
20260105,87,215910,819,0
20260105,88,215899,817,0
20260105,89,220416,808,0
20260105,90,220716,804,0
20260105,91,215872,802,0
20260105,92,211814,799,0
20260105,93,239383,792,0
20260105,94,213646,789,0
20260105,95,202460,785,0
20260105,96,220465,783,0
20260105,97,215480,780,0
20260105,98,221985,779,0
20260105,99,215219,770,0
20260105,100,221407,766,0
20260105,101,219917,760,0
20260105,102,206417,760,0
20260105,103,220662,754,0
20260105,104,220435,742,0
20260105,105,214459,739,0
20260105,106,214040,721,0
20260105,107,210886,715,0
20260105,108,221257,709,0
20260105,109,214452,696,0
20260105,110,220309,694,0
20260105,111,263857,685,0
20260105,112,211107,684,0
20260105,113,205925,672,0
20260105,114,223286,666,0
20260105,115,214119,659,0
20260105,116,203501,652,0
20260105,117,239456,640,0
20260105,118,221883,634,0
20260105,119,213889,627,0
20260105,120,213525,623,0
20260105,121,211880,620,0
20260105,122,220348,615,0
20260105,123,211337,590,0
20260105,124,220589,589,0
20260105,125,243420,582,0
20260105,126,223360,582,0
20260105,127,222233,565,0
20260105,128,202600,557,0
20260105,129,220466,555,0
20260105,130,222258,548,0
20260105,131,222290,546,0
20260105,132,201551,541,0
20260105,133,221626,538,0
20260105,134,203514,537,0
20260105,135,206294,526,0
20260105,136,214593,518,0
20260105,137,236957,517,0
20260105,138,221237,513,0
20260105,139,201593,509,0
20260105,140,220742,509,0
20260105,141,259733,509,0
20260105,142,222966,504,0
20260105,143,201478,498,0
20260105,144,201458,495,0
20260105,145,221307,494,0
20260105,146,216081,493,0
20260105,147,263644,491,0
20260105,148,214604,482,0
20260105,149,220750,479,0
20260105,150,213576,464,0
20260105,151,221124,462,0
20260105,152,215992,455,0
20260105,153,204431,455,0
20260105,154,260172,452,0
20260105,155,206292,451,0
20260105,156,214461,445,0
20260105,157,202604,445,0
20260105,158,223331,440,0
20260105,159,223321,440,0
20260105,160,221406,436,0
20260105,161,215572,430,0
20260105,162,202684,429,0
20260105,163,223325,428,0
20260105,164,211316,424,0
20260105,165,256684,422,0
20260105,166,213666,418,0
20260105,167,221236,410,0
20260105,168,211279,410,0
20260105,169,211095,406,0
20260105,170,216016,404,0
20260105,171,215250,403,0
20260105,172,220733,401,0
20260105,173,211635,396,0
20260105,174,211843,392,0
20260105,175,267439,392,0
20260105,176,202493,390,0
20260105,177,215062,389,0
20260105,178,220699,387,0
20260105,179,216097,387,0
20260105,180,210622,387,0
20260105,181,215571,386,0
20260105,182,213873,386,0
20260105,183,236955,383,0
20260105,184,223335,383,0
20260105,185,201545,382,0
20260105,186,213544,379,0
20260105,187,239389,377,0
20260105,188,204419,373,0
20260105,189,220454,372,0
20260105,190,214262,370,0
20260105,191,214254,368,0
20260105,192,238064,366,0
20260105,193,201611,366,0
20260105,194,222017,365,0
20260105,195,239436,363,0
20260105,196,214480,362,0
20260105,197,201606,361,0
20260105,198,206007,360,0
20260105,199,215807,360,0
20260105,200,211702,359,0
20260105,1001,266651,19,0
20260105,1002,269954,19,0
20260105,1003,215065,19,0
20260105,1004,270315,19,0
20260105,1005,270195,19,0
20260105,1006,260297,19,0
20260105,1007,222202,19,0
20260105,1008,221025,19,0
20260105,1009,215647,19,0
20260105,1010,270129,19,0
20260105,1011,214784,19,0
20260105,1012,221148,19,0
20260105,1013,261098,19,0
20260105,1014,220276,19,0
20260105,1015,249659,19,0
20260105,1016,214453,18,0
20260105,1017,264180,18,0
20260105,1018,215696,18,0
20260105,1019,264975,18,0
20260105,1020,260306,18,0
20260105,1021,221371,18,0
20260105,1022,259576,18,0
20260105,1023,270159,18,0
20260105,1024,264140,18,0
20260105,1024,220391,18,0
20260105,1026,260777,18,0
20260105,1027,261066,18,0
20260105,1028,266720,18,0
20260105,1029,266765,18,0
20260105,1030,223411,18,0
20260105,1031,221736,18,0
20260105,1032,215616,18,0
20260105,1033,214277,18,0
20260105,1034,259105,18,0
20260105,1035,260556,18,0
20260105,1036,211043,17,0
20260105,1037,211021,17,0
20260105,1037,269710,17,0
20260105,1039,270181,17,0
20260105,1040,252584,17,0
20260105,1041,270125,17,0
20260105,1042,224485,17,0
20260105,1043,215236,17,0
20260105,1044,215926,17,0
20260105,1045,222602,17,0
20260105,1046,221269,17,0
20260105,1047,222177,17,0
20260105,1048,214398,17,0
20260105,1049,221740,17,0
20260105,1049,260085,17,0
20260105,1051,215712,17,0
20260105,1052,223308,17,0
20260105,1053,260580,16,0
20260105,1054,201662,16,0
20260105,1055,201539,16,0
20260105,1056,246476,16,0
20260105,1057,259713,16,0
20260105,1058,221915,16,0
20260105,1059,221862,16,0
20260105,1059,260842,16,0
20260105,1059,270322,16,0
20260105,1062,263687,16,0
20260105,1063,202916,16,0
20260105,1064,223404,16,0
20260105,1064,239474,16,0
20260105,1066,266523,16,0
20260105,1067,259907,16,0
20260105,1068,220286,16,0
20260105,1069,223284,16,0
